Name,Quantity,Part Number,Description,Manufacturer,Package,Area(mm²),Height(mm),
C3,1,GRM32ER71H475KA88L,Capacitor  Ceramic  4.7uF  50V  10%,Murata Manufacturing,1210,10,2,
C4,1,Standard,Capacitor  Ceramic  0.01uF  10V  20%,Standard,0603,2,1,
C5,1,Standard,Capacitor  Ceramic  0.1uF  20V  10%,Standard,0603,2,1,
C6,1,Standard,Capacitor  Ceramic  5600pF  16V  20%,Standard,0603,2,1,
C7,1,Standard,Capacitor  Ceramic  270pF  16V  20%,Standard,0603,2,1,
C9,1,C5750X5R1C476M,Capacitor  Ceramic  47uF  16V  20%,TDK,C5750 2220,31,2,
D1,1,B240A,Diode  Schottky  40V  2A,Vishay,SMA,2,3,
L1,1,SLF12555T-220M2R3,Inductor  22uH  1.84A  34mΩ,TDK,SLF12555T,157,5,
R1,1,Standard,Resistor  SurfaceMount  88.7KΩ  100mW  1%,Standard,0603,2,1,
R16,1,Standard,Resistor  SurfaceMount  10KΩ  100mW  1%,Standard,0603,2,1,
R2,1,Standard,Resistor  SurfaceMount  348KΩ  100mW  1%,Standard,0603,2,1,
R3,1,Standard,Resistor  SurfaceMount  237KΩ  100mW  1%,Standard,0603,2,1,
R4,1,Standard,Resistor  SurfaceMount  7.68KΩ  100mW  1%,Standard,0603,2,1,
R6,1,Standard,Resistor  SurfaceMount  59KΩ  100mW  1%,Standard,0603,2,1,
R7,1,Standard,Resistor  SurfaceMount  10KΩ  100mW  1%,Standard,0603,2,1,
U1,1,TPS54240,IC  Converter  10 pins,Texas Instruments  Inc.,10MSOP-PowerPAD,15,1,
